0 		 parameter nu_bar
0.1 		 parameter epsilon

101,1 		 np,nf (ODD Numb of pts per filament(<= NP if ic.dat), Num of filaments : this number must be coherent with the initial condition type set below) 
0.0019 	 ts (Timestep)

10000 		 number of time steps to take
1 		 time steps per plot
50 		 time steps per write to history file

8 		 number of periodic boxes (open filament) 
0 		 initial display mode of filament : 0 for curve, 1 for worm
1,2 		 simulation resolution, rotation resolution

3 		 verbose: Level of diagnostics
gamma_param[0],delta_bar[0],m_flux[0] =1, 1, 0
File written: Wed Sep 18 10:40:42 2002
Comments: 3D 





Ascii values of ux, uy and uz follow
0 1.09606 -0.0689583
0 1.1 0
0 1.09606 0.0689583
0 1.08436 0.136986
0 1.06522 0.203202
0 1.03919 0.266819
0 1.00696 0.327181
0 0.969364 0.383799
0 0.927329 0.436368
0 0.881809 0.484779
0 0.833746 0.529111
0 0.784017 0.569622
0 0.733393 0.606716
0 0.682502 0.640912
0 0.631802 0.672801
0 0.581566 0.702993
0 0.531884 0.732075
0 0.482667 0.760561
0 0.433673 0.788849
0 0.384539 0.817187
0 0.334816 0.845648
0 0.284017 0.874114
0 0.231666 0.902279
0 0.177341 0.929654
0 0.120719 0.955593
0 0.0616139 0.979326
0 -1.60812e-16 1
0 -0.0639671 1.01673
0 -0.129947 1.02864
0 -0.197422 1.03492
0 -0.265714 1.03489
0 -0.334017 1.028
0 -0.401433 1.01391
0 -0.46702 0.992467
0 -0.529834 0.963764
0 -0.588987 0.928095
0 -0.643687 0.885959
0 -0.693282 0.838034
0 -0.737292 0.785137
0 -0.775435 0.728182
0 -0.807633 0.668132
0 -0.834017 0.605949
0 -0.85491 0.542542
0 -0.870804 0.478729
0 -0.882325 0.415191
0 -0.890189 0.352451
0 -0.895155 0.290853
0 -0.897976 0.230561
0 -0.89935 0.17156
0 -0.89987 0.11368
0 -0.899992 0.0566227
0 -0.9 -2.89462e-16
0 -0.899992 -0.0566227
0 -0.89987 -0.11368
0 -0.89935 -0.17156
0 -0.897976 -0.230561
0 -0.895155 -0.290853
0 -0.890189 -0.352451
0 -0.882325 -0.415191
0 -0.870804 -0.478729
0 -0.85491 -0.542542
0 -0.834017 -0.605949
0 -0.807633 -0.668132
0 -0.775435 -0.728182
0 -0.737292 -0.785137
0 -0.693282 -0.838034
0 -0.643687 -0.885959
0 -0.588987 -0.928095
0 -0.529834 -0.963764
0 -0.46702 -0.992467
0 -0.401433 -1.01391
0 -0.334017 -1.028
0 -0.265714 -1.03489
0 -0.197422 -1.03492
0 -0.129947 -1.02864
0 -0.0639671 -1.01673
0 -1.83697e-16 -1
0 0.0616139 -0.979326
0 0.120719 -0.955593
0 0.177341 -0.929654
0 0.231666 -0.902279
0 0.284017 -0.874114
0 0.334816 -0.845648
0 0.384539 -0.817187
0 0.433673 -0.788849
0 0.482667 -0.760561
0 0.531884 -0.732075
0 0.581566 -0.702993
0 0.631802 -0.672801
0 0.682502 -0.640912
0 0.733393 -0.606716
0 0.784017 -0.569622
0 0.833746 -0.529111
0 0.881809 -0.484779
0 0.927329 -0.436368
0 0.969364 -0.383799
0 1.00696 -0.327181
0 1.03919 -0.266819
0 1.06522 -0.203202
0 1.08436 -0.136986
0 1.09606 -0.0689583
0 1.1 7.07574e-16
0 1.09606 0.0689583
Ascii values of ux, uy and uz follow
0.0438278 1.09448 -0.0689594
0.0450038 1.09832 9.80929e-18
0.0447185 1.09441 0.0689594
0.0438756 1.08279 0.136996
0.0425139 1.06376 0.203229
0.040691 1.03783 0.266859
0.0384581 1.00564 0.327204
0.0358271 0.968008 0.383735
0.0327671 0.925875 0.436137
0.0292468 0.880283 0.484352
0.0252958 0.832286 0.52858
0.021042 0.782845 0.569219
0.0167047 0.732748 0.606772
0.0125537 0.68257 0.641761
0.00885901 0.632664 0.674673
0.00585014 0.58318 0.705937
0.00369699 0.534088 0.735929
0.00250767 0.485213 0.764972
0.00233613 0.436269 0.793345
0.00318977 0.386903 0.821265
0.00503079 0.336736 0.848874
0.00777015 0.28539 0.876205
0.011259 0.232516 0.90315
0.0152865 0.177801 0.929429
0.0195927 0.12098 0.954563
0.0239023 0.0618585 0.977861
0.0279735 0.000347365 0.998441
0.0316452 -0.063482 1.01529
0.034857 -0.129351 1.02738
0.0376262 -0.196758 1.03378
0.0399906 -0.265009 1.03375
0.0419545 -0.333276 1.02678
0.0434767 -0.400654 1.01258
0.0444981 -0.466204 0.99106
0.044972 -0.528997 0.962315
0.0448767 -0.588155 0.926654
0.0442167 -0.642892 0.884571
0.0430221 -0.69255 0.836726
0.0413462 -0.736629 0.783912
0.0392461 -0.774803 0.727018
0.0367497 -0.806944 0.666989
0.0338374 -0.833162 0.604804
0.0304714 -0.853838 0.541416
0.0266549 -0.869606 0.477685
0.0224816 -0.881263 0.414309
0.0181435 -0.889648 0.351786
0.0138995 -0.89554 0.290417
0.0100246 -0.899587 0.23032
0.00676509 -0.902285 0.171455
0.00431175 -0.903988 0.113649
0.00279268 -0.904925 0.0566196
0.00227885 -0.905224 -2.88954e-16
0.00279268 -0.904925 -0.0566196
0.00431175 -0.903988 -0.113649
0.00676509 -0.902285 -0.171455
0.0100246 -0.899587 -0.23032
0.0138995 -0.89554 -0.290417
0.0181435 -0.889648 -0.351786
0.0224816 -0.881263 -0.414309
0.0266549 -0.869606 -0.477685
0.0304714 -0.853838 -0.541416
0.0338374 -0.833162 -0.604804
0.0367497 -0.806944 -0.666989
0.0392461 -0.774803 -0.727018
0.0413462 -0.736629 -0.783912
0.0430221 -0.69255 -0.836726
0.0442167 -0.642892 -0.884571
0.0448767 -0.588155 -0.926654
0.044972 -0.528997 -0.962315
0.0444981 -0.466204 -0.99106
0.0434767 -0.400654 -1.01258
0.0419545 -0.333276 -1.02678
0.0399906 -0.265009 -1.03375
0.0376262 -0.196758 -1.03378
0.034857 -0.129351 -1.02738
0.0316452 -0.063482 -1.01529
0.0279735 0.000347365 -0.998441
0.0239023 0.0618585 -0.977861
0.0195927 0.12098 -0.954563
0.0152865 0.177801 -0.929429
0.011259 0.232516 -0.90315
0.00777015 0.28539 -0.876205
0.00503079 0.336736 -0.848874
0.00318977 0.386903 -0.821265
0.00233613 0.436269 -0.793345
0.00250767 0.485213 -0.764972
0.00369699 0.534088 -0.735929
0.00585014 0.58318 -0.705937
0.00885901 0.632664 -0.674673
0.0125537 0.68257 -0.641761
0.0167047 0.732748 -0.606772
0.021042 0.782845 -0.569219
0.0252958 0.832286 -0.52858
0.0292468 0.880283 -0.484352
